geo_point_2d,geo_shape,electricity_provider,outage_maplink,streetlight_faults,type,rating,lightid,extracted,lga_name,longitude,latitude,suburb,ward,postcode,easting,northing,projection,gisfid,address,usage,strname
"-38.1306983328, 145.3161609379","{""coordinates"": [145.3161609379, -38.1306983328], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,325709050,2024-06-07,Casey,145.31616093794614,-38.130698332777364,Clyde,Tooradin,3978,352421,5778345,MGA2020 Zone 55,38716,Switch Street Clyde 3978,,Switch Street
"-38.0291115038, 145.2747155971","{""coordinates"": [145.2747155971, -38.0291115038], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,155.0,323209863,2024-06-07,Casey,145.2747155971379,-38.02911150375695,Hampton Park,Waratah,3976,348579,5789551,MGA2020 Zone 55,38723,Pound Road Hampton Park 3976,,Pound Road
"-38.1026055956, 145.3915569945","{""coordinates"": [145.3915569945, -38.1026055956], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,70.0,349703480,2024-06-07,Casey,145.39155699447676,-38.102605595649905,Clyde North,Dillwynia,3978,358976,5781580,MGA2020 Zone 55,38764,Burnbank Parade Clyde North 3978,,Burnbank Parade
"-38.0554255839, 145.2632031896","{""coordinates"": [145.2632031896, -38.0554255839], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,155.0,326897963,2024-06-07,Casey,145.2632031896458,-38.05542558390856,Hampton Park,River Gum,3976,347623,5786612,MGA2020 Zone 55,38771,Hallam Road Hampton Park 3976,,Hallam Road
"-38.0580517059, 145.2630497624","{""coordinates"": [145.2630497624, -38.0580517059], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,155.0,326936769,2024-06-07,Casey,145.26304976242423,-38.058051705897164,Hampton Park,River Gum,3976,347615,5786321,MGA2020 Zone 55,38784,South Gippsland High Hampton Park 3976,,South Gippsland High
"-38.0282518477, 145.2750607397","{""coordinates"": [145.2750607397, -38.0282518477], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,323209876,2024-06-07,Casey,145.2750607397458,-38.028251847737046,Hampton Park,Waratah,3976,348607,5789647,MGA2020 Zone 55,38790,Vision Drive Hampton Park 3976,,Vision Drive
"-38.1236690612, 145.3715287283","{""coordinates"": [145.3715287283, -38.1236690612], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,292112326,2024-06-07,Casey,145.37152872831567,-38.123669061176145,Clyde North,Dillwynia,3978,357260,5779212,MGA2020 Zone 55,38803,Carnelian Circuit Clyde North 3978,,Carnelian Circuit
"-38.1241246061, 145.3727359862","{""coordinates"": [145.3727359862, -38.1241246061], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,292112329,2024-06-07,Casey,145.3727359862453,-38.124124606081445,Clyde North,Dillwynia,3978,357367,5779163,MGA2020 Zone 55,38806,Carnelian Circuit Clyde North 3978,,Carnelian Circuit
"-38.1235722149, 145.3738278927","{""coordinates"": [145.3738278927, -38.1235722149], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,292112368,2024-06-07,Casey,145.3738278927221,-38.12357221493622,Clyde North,Dillwynia,3978,357462,5779226,MGA2020 Zone 55,38809,Carnelian Circuit Clyde North 3978,,Carnelian Circuit
"-38.1060069071, 145.3563047991","{""coordinates"": [145.3563047991, -38.1060069071], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,305694613,2024-06-07,Casey,145.35630479907607,-38.106006907129384,Clyde North,Dillwynia,3978,355891,5781148,MGA2020 Zone 55,38843,Zebu Drive Clyde North 3978,,Zebu Drive
"-38.0848840941, 145.253982128","{""coordinates"": [145.253982128, -38.0848840941], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,150.0,299236257,2024-06-07,Casey,145.25398212799035,-38.084884094083094,Cranbourne West,Quarters,3977,346875,5783328,MGA2020 Zone 55,38849,Volk Road Cranbourne West 3977,,Volk Road
"-38.1311363332, 145.3281361386","{""coordinates"": [145.3281361386, -38.1311363332], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,18.0,146695940,2024-06-07,Casey,145.32813613858596,-38.13113633316118,Clyde,Tooradin,3978,353472,5778316,MGA2020 Zone 55,38864,Valetta Street Clyde 3978,,Valetta Street
