geo_coordinates
"[-37.82156399960329, 144.95571399959852]"
"[-37.82251799976035, 144.93989799976174]"
"[-37.83965400028234, 144.98118799974398]"
"[-37.82255300002856, 144.94006800055902]"
"[-37.82231400014607, 144.93898099994252]"
"[-37.82244499985345, 144.93955199956778]"
"[-37.82238100034958, 144.93927599959696]"
"[-37.82213299964281, 144.9381869995855]"
"[-37.821977999741605, 144.93751800039433]"
"[-37.822302999937335, 144.93894200033716]"
"[-37.822263999692325, 144.93877700045357]"
"[-37.82221200031181, 144.93852699965112]"
"[-37.83874099992463, 144.98062099960265]"
"[-37.83877499961126, 144.98065499958633]"
"[-37.78619800032156, 144.95229600039133]"
"[-37.785703000230676, 144.95293400037718]"
"[-37.77816300006702, 144.93911700000547]"
"[-37.778144000214226, 144.93914499958447]"
"[-37.78401100036756, 144.9550769999013]"
"[-37.786741000069185, 144.95160200000342]"
"[-37.78278199956571, 144.95360400008326]"
"[-37.78519799999378, 144.95358000036697]"
"[-37.77981300020519, 144.94105500039913]"
"[-37.77994799957776, 144.94115400043293]"
"[-37.78344999984437, 144.95441399975422]"
"[-37.78338099977354, 144.95432799968253]"
"[-37.783193000287866, 144.95412700044707]"
"[-37.77790800004491, 144.93897000021923]"
"[-37.78447500025675, 144.95449400016685]"
"[-37.781509999541115, 144.95186199987873]"
"[-37.78187399972897, 144.95186099986742]"
"[-37.781867000161135, 144.95178300042204]"
"[-37.77713899995729, 144.93842599976878]"
"[-37.779981999924416, 144.94030799957415]"
"[-37.77680500031291, 144.93890500026322]"
"[-37.778407999534856, 144.93943800051161]"
"[-37.7784049995033, 144.93943799980252]"
"[-37.7784049995033, 144.93943799980252]"
"[-37.77726599989865, 144.93838500062597]"
"[-37.7782909995706, 144.9395589998945]"
"[-37.77909899979915, 144.9416059995284]"
"[-37.77980999952927, 144.94146999960284]"
"[-37.77997099971153, 144.94144300047546]"
"[-37.780420000427966, 144.9404750004983]"
"[-37.781913999505015, 144.94150000019238]"
"[-37.78193999956866, 144.941558999965]"
"[-37.77844700008639, 144.94081200018368]"
"[-37.77852399992766, 144.94079099987889]"
"[-37.815012000293635, 144.96646400018014]"
"[-37.80928200038599, 144.96331800026985]"
"[-37.80939300008903, 144.9634479995009]"
"[-37.809548000165144, 144.9636179997572]"
"[-37.81057200024719, 144.96430500052284]"
"[-37.81065199985103, 144.9643290003138]"
"[-37.811392000377616, 144.9646000002991]"
"[-37.81110199992549, 144.9645389995579]"
"[-37.811181999899354, 144.96452699964604]"
"[-37.814241999503984, 144.96606799952593]"
"[-37.81165500002955, 144.96478500032117]"
"[-37.811815999899956, 144.96487000023683]"
"[-37.78489499967256, 144.9619759995831]"
"[-37.837442999969014, 144.9777220002789]"
"[-37.81118200020667, 144.98077400018374]"
"[-37.811165000366636, 144.98077399988622]"
"[-37.811152000073044, 144.9807780003196]"
"[-37.814430999708485, 144.9801970001541]"
"[-37.81467800036974, 144.98017900044763]"
"[-37.814948000167654, 144.98251300037936]"
"[-37.814948000167654, 144.98251300037936]"
"[-37.81413500006925, 144.97952099955384]"
"[-37.8149459995505, 144.98251300031933]"
"[-37.8149459995505, 144.98251300031933]"
"[-37.81494899957546, 144.9825130004339]"
"[-37.81322899975389, 144.9807890001333]"
"[-37.81532199979631, 144.98192200059188]"
"[-37.81307899982886, 144.97997199996888]"
"[-37.8149459995505, 144.98251300031933]"
"[-37.81374800007238, 144.9800189995401]"
